Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
Alabama A & M University,-86.568502,34.783368,450,450,,19,90,7182,21849,27441,Public,4051,10,1104,6142
University of Alabama at Birmingham,-86.80917,33.50223,640,650,,28,87,7206,22495,31687,Public,11502,29,1773,5689
Amridge University,-86.17401,32.362609,,,,,,6870,,,Private not-for-profit,322,0,,
University of Alabama in Huntsville,-86.63842,34.722818,640,650,,29,81,9192,23466,35780,Public,5696,16,651,2054
Alabama State University,-86.295677,32.364317,480,480,,19,51,8720,18286,25222,Public,5356,9,1479,10245
The University of Alabama,-87.545766,33.2144,620,640,600,30,57,9450,27000,41500,Public,29440,43,6454,30975
Athens State University,-86.96514,34.805625,,,,,,,,,Public,3170,,,
Auburn University at Montgomery,-86.177351,32.369939,,,,23,84,8750,17820,34020,Public,4322,10,579,1958
Auburn University,-85.492409,32.600201,620,650,620,30,83,9852,25282,41794,Public,19799,38,3726,15745
Birmingham Southern College,-86.853636,33.515453,630,640,,29,64,30690,45470,45470,Private not-for-profit,1188,53,356,1931
Concordia College Alabama,-87.023531,32.42443,,,,,,8090,18330,18330,Private not-for-profit,600,10,,
Faulkner University,-86.21641,32.384181,,,,,,18230,31010,31010,Private not-for-profit,2617,11,,
Huntingdon College,-86.285313,32.350939,500,540,,24,63,23500,33885,33885,Private not-for-profit,1110,30,261,1470
Jacksonville State University,-85.766644,33.822128,540,540,,26,83,7092,21237,28029,Public,7588,10,1158,3083
Judson College,-87.316127,32.630526,640,600,610,24,74,15630,28840,28840,Private not-for-profit,347,38,68,268
University of West Alabama,-88.186077,32.59244,,,,22,100,7660,18162,24672,Public,1999,18,380,462
